aluno_id,area_interesse
ALU_a1eeede170,Sustentabilidade
ALU_a1eeede170,Interiores
ALU_a1eeede170,Projeto Residencial E Institucional
ALU_51828b1772,Design Gráfico
ALU_ad8f38a8e4,Nutrição
ALU_444a1c7b9b,Publicidade E Propaganda E Cinema
ALU_c2a9b2e321,Neuropsicologia
ALU_c2a9b2e321,Computação
ALU_c2a9b2e321,Análise De Dados/Estatística
ALU_c2a9b2e321,Acessibilidade
ALU_951a5e3922,Estágio Em Direito
ALU_9ac76cbf5b,Finanças
ALU_9ac76cbf5b,Marketing
ALU_cf14e5631f,Administração
ALU_cf14e5631f,Marketing
ALU_0f507d4d5a,Jurídico
ALU_e52ca7dfc9,Psicologia Hospitalar; Jurídica.
ALU_0c44d61443,Administração
ALU_0c44d61443,Energia
ALU_0c44d61443,Cosméticos
ALU_0c44d61443,Logística
ALU_0c44d61443,Planejamento
ALU_1407ad104a,Recursos Humanos
ALU_dd93b0a4e5,"Finanças, Contabilidade, Economia, Matemática"
ALU_9db6010126,Recursos Humanos
ALU_9db6010126,Psicoterapia
ALU_bf612e5b7f,Finanças
ALU_8b4009f15a,Jornalismo Político
ALU_bce9eb36ad,Planejamento De Projetos
ALU_bce9eb36ad,Relações Internacionais
ALU_bce9eb36ad,Comércio Exterior
ALU_bce9eb36ad,Pesquisa Acadêmica
ALU_974bbe0274,Negócios E Finanças
ALU_0f4a3bb4b8,"Rh, Departamento Pessoal, Áreas Administrativas, Escolas E Creches,  Dentre Outros"
ALU_35d3f6824d,Consultoria
ALU_35d3f6824d,Finanças
ALU_35d3f6824d,Mercado Financeiro
ALU_35d3f6824d,Consultoria Financeira
ALU_ad3195a38f,Comunicação Social
ALU_532bfce150,Marketing Digital
ALU_532bfce150,Atendimento Publicitário
ALU_59f23b41ee,Gestão De Recursos Humanos
ALU_59f23b41ee,Marketing
ALU_b340ef131c,Estágio Design
ALU_55e4083716,Operação De Câmera
ALU_55e4083716,Produção Publicitária E Campanhas Criativas
ALU_55e4083716,Criação De Conteúdo
ALU_55e4083716,Cinema E Audiovisual
ALU_55e4083716,Produção Audiovisual
ALU_c998c25953,Cinema
ALU_ad6457b502,Mercado Financeiro
ALU_60cf6c5f3b,"Interesse Em Estágios Ou Oportunidades Que Envolvam Projetos, Obras E Planeamento"
ALU_c0c81d8473,Estágio Em Social Midia
ALU_c0c81d8473,Estágio Em Edição Audiovisual
ALU_5d91b1e7f1,Desenvolvedor Backend
ALU_5d91b1e7f1,Engenheiro De Machine Learning
ALU_5d91b1e7f1,Desenvolvedor Backend
ALU_5d91b1e7f1,Desenvolvedor Fullstack
ALU_1daec5122c,Estágio Em Publicidade
ALU_4bc36d08ad,Relações Interpessoais
ALU_4bc36d08ad,Mercado De Ações
ALU_4bc36d08ad,Recursos Humanos
ALU_4bc36d08ad,Clínica
ALU_a50bcc65d0,Jornalismo
ALU_bbbf7b5e56,Estágio Em Comunicação
ALU_bbbf7b5e56,Estágio Em Jornalismo
ALU_db794b9f55,Ciência Da Dados
ALU_db794b9f55,Segurança Da Informação
ALU_db794b9f55,Inteligência Artificial
ALU_03fa3e1cd3,Mercado Financeiro.
ALU_e9c8233ce9,Design Gráfico
ALU_e9c8233ce9,Animação
ALU_09710ee3c6,Financeiro
ALU_09710ee3c6,Marketing
ALU_8b9860b9fa,"Sou Uma Estudante Extremamente Dedicada. Demonstro Grande Entusiasmo Pela Profissão E Pelo Campo Do Jornalismo. Me Destaco Devido À Minha Participação Ativa, Demonstração De Interesse E Excelência Nas Atividades E Aulas. Sou Uma Pessoa Criativa E Persistente, Que Não Desiste De Meus Objetivos Até Ter A Certeza De Obter Resultados, Buscando Sempre Dar O Meu Melhor. Tenho Maior Interesse Na Área Da Escrita Jornalística. Procuro Ampliar Meu Conhecimento No Maior Número De Áreas Possíveis Com O Intuito De Me Tornar Uma Profissional Completa E Experiente."
ALU_e364b73f62,Desenvolvimento De Software
ALU_f84ceff8d2,"Tenho Me Interessado Cada Vez Mais, Durante Este Meu Percurso Acadêmico, Pelas Áreas De Direito Civil E Direitos Humanos. Já Tive A Oportunidade De Atuar Mais Diretamente Com O Tema Do Direito À Cidade, Com Ênfase Em Direito Ambiental E Direito À Moradia. Mesmo Assim, Tendo Cursado Até O 3º Período Da Graduação, Procuro Manter Uma Atitude De Abertura Às Diferentes Áreas Para Ampliar Minha Base De Conhecimento."
ALU_0c5b31d7e0,Design
ALU_bd8b83a814,Admnistração
ALU_bd8b83a814,Marketing
ALU_bd8b83a814,Finanças
ALU_bd8b83a814,Juridica
ALU_bd8b83a814,Consultoria
ALU_d00e2c4e96,"Political Science, International Relations, Law, Journalism"
ALU_477fb74d54,Psicanálise
ALU_72fbb58eef,Comunicação Visual
ALU_cc1793506c,Administração De Empresas
ALU_cc1793506c,Marketing
ALU_cc1793506c,Estratégia
ALU_cc1793506c,Consultoria
ALU_cc1793506c,Finanças
ALU_e90ed0f82e,"Moda, Estilista"
